Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,388.25,390.75,385.5,386.75,386.75,182448
2018-03-16,386.25,387.5,382.5,382.75,382.75,150929
2018-03-19,382.0,382.0,374.75,375.0,375.0,245783
2018-03-20,375.25,377.0,373.25,374.5,374.5,204617
2018-03-21,375.0,375.75,373.75,375.0,375.0,149269
2018-03-22,375.5,377.5,374.0,376.0,376.0,161683
2018-03-23,376.25,378.25,369.25,377.25,377.25,279202
2018-03-26,378.5,380.75,373.5,374.0,374.0,183534
2018-03-27,374.0,376.0,372.25,374.0,374.0,134332
2018-03-28,374.25,375.0,372.0,373.5,373.5,173538
2018-03-29,373.75,389.25,373.75,387.75,387.75,377913
2018-04-02,389.25,392.5,387.0,387.25,387.25,207532
2018-04-03,387.0,392.0,386.75,388.5,388.5,211498
2018-04-04,388.0,389.0,372.0,381.0,381.0,367003
2018-04-05,382.0,389.5,380.75,389.5,389.5,263910
2018-04-06,382.0,390.0,382.0,388.5,388.5,309023
2018-04-09,389.75,392.5,388.75,390.75,390.75,215394
2018-04-10,390.0,392.25,388.5,389.25,389.25,272796
2018-04-11,389.25,390.5,385.75,387.0,387.0,158051
2018-04-12,386.5,389.25,385.0,388.75,388.75,201798
2018-04-13,388.5,389.25,385.0,386.25,386.25,233785
2018-04-16,385.0,386.25,382.0,382.5,382.5,175612
2018-04-17,383.0,384.5,379.75,380.25,380.25,239865
2018-04-18,380.75,383.5,380.0,383.0,383.0,142846
2018-04-19,382.75,383.5,380.75,382.0,382.0,113015
2018-04-20,381.25,381.75,376.25,376.5,376.5,156689
2018-04-23,376.5,379.25,376.25,378.5,378.5,151348
2018-04-24,378.5,381.5,377.0,381.25,381.25,115021
2018-04-25,381.0,387.25,380.5,386.5,386.5,148787
2018-04-26,386.0,387.0,384.0,386.0,386.0,132000
2018-04-27,385.25,390.5,385.25,389.5,389.5,165578
2018-04-30,390.75,395.75,390.5,392.5,392.5,19335
2018-05-01,393.0,397.0,391.5,396.75,396.75,7499
2018-05-02,396.25,397.25,395.0,396.0,396.0,3180
2018-05-03,396.0,399.5,395.0,399.5,399.5,1317
2018-05-04,399.5,400.0,397.5,398.75,398.75,2089
2018-05-07,397.25,397.25,393.25,393.25,393.25,1964
2018-05-08,392.75,396.0,391.25,395.5,395.5,2020
2018-05-09,396.25,397.0,394.0,394.75,394.75,911
2018-05-10,395.5,399.75,393.25,394.75,394.75,604
2018-05-11,394.0,394.75,389.75,389.75,389.75,497
2018-05-14,388.5,389.0,387.5,389.0,389.0,132488
2018-05-15,396.25,402.5,396.0,402.25,402.25,190991
2018-05-16,401.75,404.75,398.0,399.25,399.25,171919
2018-05-17,399.0,402.0,395.0,395.25,395.25,147539
2018-05-18,395.25,403.5,395.0,402.5,402.5,181910
2018-05-21,405.5,407.5,401.25,402.75,402.75,181093
2018-05-22,402.25,407.0,401.0,404.75,404.75,166303
2018-05-23,404.5,409.0,403.0,408.5,408.5,163375
2018-05-24,408.25,412.25,403.75,404.25,404.25,236840
2018-05-25,404.0,406.75,403.25,406.0,406.0,129412
2018-05-29,408.75,410.0,397.5,400.0,400.0,242706
2018-05-30,398.25,398.5,390.75,393.5,393.5,292996
2018-05-31,393.5,398.5,393.25,394.0,394.0,195810
2018-06-01,393.75,397.0,390.75,391.5,391.5,172116
2018-06-04,389.75,389.75,380.5,380.75,380.75,266554
2018-06-05,380.75,385.25,380.0,383.75,383.75,212436
2018-06-06,384.25,386.5,378.0,378.25,378.25,227304
2018-06-07,379.0,382.0,374.25,376.25,376.25,300589
2018-06-08,376.25,379.0,373.5,377.75,377.75,177413
2018-06-11,376.5,379.0,366.75,367.25,367.25,294907
2018-06-12,368.0,379.5,367.25,377.5,377.5,310105
2018-06-13,377.5,379.75,373.25,376.0,376.0,227652
2018-06-14,374.0,374.75,362.5,363.0,363.0,357600
2018-06-15,374.0,374.75,355.25,361.25,361.25,297484
2018-06-18,359.5,362.0,354.0,356.0,356.0,177747
2018-06-19,355.75,357.75,338.75,353.75,353.75,334335
2018-06-20,354.0,357.0,347.5,354.25,354.25,200174
2018-06-21,354.25,359.0,349.25,357.0,357.0,168570
2018-06-22,358.0,359.75,355.0,357.25,357.25,141682
2018-06-25,358.5,359.5,349.25,350.5,350.5,203156
2018-06-26,350.5,355.5,348.0,352.5,352.5,227152
2018-06-27,352.0,356.5,351.5,352.5,352.5,163319
