DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2019-06-14,23.354825462012318,36.4,5.2,0.01728215767634855,3.857112970711297
2019-06-15,23.171670190274842,37.3,5.9,0.005032258064516129,3.911853448275862
2019-06-16,22.810020876826723,36.3,6.9,0.01133047210300429,3.502553191489362
2019-06-17,22.303719008264462,36.0,6.1,0.015576519916142558,3.4199579831932776
2019-06-18,22.276091476091473,35.0,5.6,0.009538784067085953,3.569915254237288
2019-06-19,22.283609958506226,36.0,6.5,0.010444915254237288,3.2436440677966103
2019-06-20,21.863070539419088,36.0,1.4,0.0037916666666666663,3.1595338983050847
2019-06-21,21.9160824742268,36.0,4.5,0.008208333333333333,4.319067796610169
2019-06-22,21.936305732484076,36.2,3.9,0.004030172413793103,4.089370932754881
2019-06-23,21.918315789473684,36.0,4.1,0.010746268656716417,3.6858064516129034
2019-06-24,22.253623188405797,35.7,5.3,0.003443983402489627,3.5315010570824525
2019-06-25,22.46985446985447,36.0,5.3,0.0011677282377919322,4.235031847133758
2019-06-26,21.446694214876036,37.0,-1.1,0.0038197424892703865,3.6985232067510547
2019-06-27,21.75227272727273,44.7,-0.7,0.00927813163481953,3.734105263157895
2019-06-28,22.934979423868313,37.0,7.3,0.0026680672268907563,4.432075471698113
2019-06-29,23.337763713080168,37.2,6.8,0.0052553191489361694,4.468103448275862
2019-06-30,22.961795407098123,37.0,7.4,0.008425531914893617,3.902345415778252
2019-07-01,22.136625514403292,37.0,3.8,0.01223157894736842,3.3762605042016807
2019-07-02,21.695910020449897,37.0,-0.8,0.004190871369294606,3.2258333333333336
2019-07-03,22.01384928716904,37.1,2.7,0.009625779625779627,3.610165975103734
2019-07-04,21.486486486486488,37.0,-1.5,0.00654427645788337,3.5840425531914892
2019-07-05,20.533333333333335,38.6,-5.2,0.003039647577092511,4.502136752136752
2019-07-06,18.360042283298096,37.4,-5.9,0.002012987012987013,4.440259740259741
2019-07-07,17.49767441860465,36.2,-5.9,0.0058583690987124475,3.978185745140389
2019-07-08,18.60317124735729,37.0,-5.2,0.004344086021505376,4.171922246220302
2019-07-09,19.757383966244724,36.0,-2.4,0.015299145299145299,3.8622844827586205
2019-07-10,20.372384937238493,35.3,-0.2,0.0045957446808510645,3.5809421841541753
2019-07-11,21.01278825995807,35.8,-0.1,0.011398305084745762,3.3156316916488224
2019-07-12,21.7706498951782,36.2,-0.8,0.0024152542372881352,3.536188436830835
2019-07-13,21.97247311827957,36.1,1.7,0.00556043956043956,3.2127472527472527
2019-07-14,22.189596602972397,37.0,3.9,0.005627705627705628,3.198481561822126
2019-07-15,21.764705882352942,37.1,0.8,0.005835140997830802,3.1731759656652363
2019-07-16,21.04579831932773,37.8,-1.2,0.0016339869281045752,3.54206008583691
2019-07-17,20.062893081761008,37.8,-1.0,0.010107066381156316,4.203846153846154
