DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2020-05-29,21.784507042253523,47.9,2.0,0.00014084507042253522,6.122627737226277
2020-05-30,19.69148936170213,45.9,4.4,0.005111111111111111,7.730882352941177
2020-05-31,18.465714285714284,41.1,-2.2,0.04708029197080292,5.728888888888889
2020-06-01,20.22887323943662,41.4,3.3,0.0004929577464788733,5.559124087591241
2020-06-02,21.97042253521127,42.4,2.8,0.00035971223021582735,4.6197080291970805
2020-06-03,24.554225352112674,46.1,2.0,0.00028169014084507044,4.6810218978102185
2020-06-04,24.096478873239434,47.1,2.0,0.0,5.833576642335767
2020-06-05,20.948591549295774,47.1,2.0,0.0007246376811594203,7.8452554744525544
2020-06-06,17.978571428571428,43.7,3.9,0.006165413533834587,9.388059701492537
2020-06-07,16.765248226950355,37.5,-1.1,0.008201438848920863,9.652941176470588
2020-06-08,17.814788732394366,36.1,-4.0,0.006000000000000001,8.637226277372262
2020-06-09,21.350704225352114,38.3,-4.0,0.0,5.195620437956204
2020-06-10,23.640425531914897,41.7,-2.8,0.0,4.80735294117647
2020-06-11,23.657446808510638,45.5,0.0,0.0007092198581560284,5.4676470588235295
2020-06-12,21.095744680851062,45.6,1.7,7.194244604316547e-05,7.478676470588235
2020-06-13,18.108571428571427,42.2,1.0,0.010588235294117647,8.493333333333332
2020-06-14,18.967625899280577,38.9,-3.0,0.0012949640287769784,6.4305970149253735
2020-06-15,20.7531914893617,42.9,-1.1,0.0018705035971223023,6.194117647058824
2020-06-16,19.7290780141844,43.3,0.0,0.004285714285714286,7.883088235294117
2020-06-17,19.880714285714287,43.0,-2.2,0.00042857142857142855,7.499259259259259
2020-06-18,21.02285714285714,40.0,-2.8,0.0,5.355555555555555
2020-06-19,21.63,43.2,-1.7,7.142857142857143e-05,5.307407407407408
2020-06-20,21.623021582733813,45.9,1.1,7.246376811594203e-05,5.856716417910447
2020-06-21,22.236496350364963,46.5,0.0,0.00014598540145985403,5.951515151515152
2020-06-22,22.88768115942029,48.2,2.8,0.00014598540145985403,5.613533834586466
2020-06-23,23.49136690647482,49.1,5.6,0.0,5.642537313432836
2020-06-24,23.26014492753623,48.5,5.0,0.00021897810218978101,5.860902255639098
2020-06-25,23.304316546762593,47.0,5.0,0.00029411764705882356,5.87910447761194
2020-06-26,23.453237410071942,45.4,2.8,0.0007352941176470588,5.661194029850747
2020-06-27,23.759420289855075,48.7,2.8,0.0002173913043478261,6.587218045112782
2020-06-28,21.244202898550725,49.0,7.0,0.0003703703703703704,9.014285714285714
2020-06-29,19.47985611510791,45.5,-2.0,0.003211678832116788,8.111940298507463
2020-06-30,20.812230215827338,40.2,-1.1,0.0030215827338129497,5.5559701492537314
2020-07-01,21.193525179856117,43.5,-1.1,7.194244604316547e-05,5.784328358208955
2020-07-02,21.02158273381295,44.0,1.0,0.00021739130434782607,6.179850746268657
2020-07-03,21.281884057971016,44.4,1.0,0.0,6.0360902255639095
2020-07-04,22.991304347826087,45.0,1.0,0.0,5.400751879699248
2020-07-05,24.276811594202897,46.6,0.0,0.0,5.6383458646616536
2020-07-06,23.681884057971015,47.6,0.0,0.0,6.526315789473684
2020-07-07,22.528776978417266,47.6,-2.0,0.0,6.8641791044776115
2020-07-08,22.689999999999998,46.7,0.0,0.0,5.934814814814815
2020-07-09,22.822857142857142,45.1,1.1,0.0002142857142857143,5.723703703703704
2020-07-10,24.04822695035461,46.5,1.0,7.092198581560284e-05,5.186764705882353
2020-07-11,25.591366906474818,50.7,1.7,7.246376811594203e-05,5.125373134328358
2020-07-12,26.302158273381295,49.4,3.0,0.00014492753623188405,5.464444444444445
2020-07-13,25.21357142857143,49.4,2.0,0.0,6.830147058823529
2020-07-14,23.163909774436092,50.1,3.9,0.00015151515151515152,6.68046875
2020-07-15,23.04812030075188,47.1,3.9,0.0,6.10859375
2020-07-16,23.11044776119403,47.2,5.6,0.00014925373134328358,6.0265625
2020-07-17,22.942446043165468,47.6,6.0,0.001366906474820144,6.287313432835821
2020-07-18,23.32246376811594,47.7,4.0,0.0,5.974436090225564
2020-07-19,23.81654676258993,48.6,6.1,0.00014492753623188405,6.409701492537313
2020-07-20,22.99214285714286,48.5,5.6,0.00028776978417266187,6.8570370370370375
2020-07-21,22.625,48.7,5.0,0.0,6.151851851851852
2020-07-22,22.07714285714286,48.8,3.9,0.00028776978417266187,6.6140740740740736
2020-07-23,21.29290780141844,45.9,3.9,0.004428571428571429,6.190441176470588
2020-07-24,21.816312056737587,44.0,2.8,0.00035714285714285714,5.925735294117647
2020-07-25,22.138571428571428,45.0,2.2,0.00014285714285714287,5.585925925925926
2020-07-26,23.11642857142857,45.9,2.2,0.00014492753623188405,5.547407407407407
2020-07-27,23.49142857142857,46.1,4.4,0.00022058823529411763,5.887407407407407
2020-07-28,22.90714285714286,47.3,3.9,0.0023741007194244606,5.806666666666667
2020-07-29,23.281428571428574,48.4,3.9,0.0,5.828148148148148
2020-07-30,23.480575539568346,49.1,5.0,7.194244604316547e-05,5.8910447761194025
2020-07-31,24.567391304347826,50.0,3.0,7.299270072992701e-05,6.086466165413534
2020-08-01,24.479710144927534,50.0,2.0,0.00014492753623188405,5.919548872180451
2020-08-02,24.091304347826085,48.5,3.0,0.00014492753623188405,5.701503759398496
2020-08-03,24.341304347826085,47.8,1.7,0.0,6.014285714285714
2020-08-04,23.428776978417265,47.8,2.2,0.00014388489208633093,6.548507462686567
2020-08-05,22.133333333333333,46.4,3.0,0.00036496350364963507,7.390977443609023
2020-08-06,21.06546762589928,44.5,2.0,0.01318840579710145,6.792537313432836
2020-08-07,21.780575539568346,43.3,2.0,0.0,5.738059701492537
2020-08-08,23.03333333333333,50.6,1.0,0.0,5.109774436090226
2020-08-09,23.64087591240876,45.8,3.9,0.0,5.071212121212121
2020-08-10,23.97697841726619,46.7,0.0,0.00014492753623188405,5.417910447761194
2020-08-11,23.17391304347826,46.7,6.1,0.002444444444444444,6.415037593984962
2020-08-12,23.41304347826087,51.1,1.0,0.0,5.562406015037594
2020-08-13,25.530656934306567,47.2,1.7,7.518796992481203e-05,4.876515151515152
2020-08-14,27.9237037037037,48.9,5.0,0.0010526315789473686,4.578461538461539
2020-08-15,29.116176470588236,50.6,8.0,0.00030303030303030303,4.438931297709924
2020-08-16,28.97089552238806,50.6,8.9,0.0018750000000000001,5.40923076923077
2020-08-17,28.018382352941178,48.9,10.6,0.0032031250000000002,5.473484848484849
2020-08-18,28.24264705882353,47.8,10.0,0.0033587786259541984,5.254545454545455
2020-08-19,28.186764705882354,47.8,7.0,0.00022727272727272727,5.112121212121211
2020-08-20,26.240145985401462,50.2,3.0,0.0010294117647058824,5.432575757575758
2020-08-21,25.280882352941177,49.2,4.0,0.0,5.115267175572519
2020-08-22,25.892028985507245,49.3,2.0,7.299270072992701e-05,4.86015037593985
2020-08-23,25.45777777777778,47.7,3.9,0.00014814814814814815,4.783076923076923
2020-08-24,25.69927536231884,47.7,6.1,0.0026666666666666666,5.38421052631579
2020-08-25,24.79640287769784,48.3,6.0,0.0002158273381294964,5.785820895522388
2020-08-26,24.102898550724635,48.5,3.0,7.352941176470589e-05,5.849624060150376
2020-08-27,23.518115942028984,47.8,2.0,7.246376811594203e-05,5.826315789473684
2020-08-28,23.49496402877698,47.2,3.3,0.0,5.214925373134328
2020-08-29,22.699270072992704,46.7,3.3,0.0,5.3522727272727275
2020-08-30,21.8875,45.7,3.9,0.00014705882352941178,5.287022900763359
2020-08-31,22.119424460431652,43.8,3.0,0.00014492753623188405,5.161194029850747
2020-09-01,22.27173913043478,43.8,3.9,0.0,5.438345864661653
2020-09-02,21.967391304347824,45.8,3.0,7.299270072992701e-05,5.403759398496241
2020-09-03,22.684057971014493,47.1,3.9,0.0,5.049624060150376
2020-09-04,23.88768115942029,48.8,3.9,7.299270072992701e-05,4.578947368421052
2020-09-05,26.580882352941178,50.0,5.6,7.407407407407407e-05,3.9778625954198477
2020-09-06,29.44776119402985,50.0,5.6,0.0,3.703846153846154
2020-09-07,28.38507462686567,49.5,2.8,0.0,4.248062015503876
2020-09-08,24.92391304347826,47.2,2.8,0.0,6.646616541353383
2020-09-09,21.725735294117644,40.0,-3.9,0.0003676470588235294,5.259541984732825
2020-09-10,19.802941176470586,36.7,-4.0,0.00029411764705882356,3.338167938931298
2020-09-11,19.727007299270074,37.8,-3.3,0.00029197080291970805,2.8833333333333333
2020-09-12,20.436296296296298,40.0,-1.0,7.407407407407407e-05,3.0730769230769233
2020-09-13,20.633582089552238,42.7,-1.1,0.00014925373134328358,3.5806201550387593
2020-09-14,21.201459854014598,43.3,0.0,7.352941176470589e-05,4.3136363636363635
2020-09-15,21.961764705882356,43.3,0.6,7.352941176470589e-05,4.051908396946565
2020-09-16,22.46029411764706,44.4,0.0,0.00037313432835820896,4.122900763358778
2020-09-17,22.55514705882353,45.0,-2.0,0.0008888888888888889,4.202290076335878
2020-09-18,23.31764705882353,45.0,-1.1,0.0018656716417910447,5.67175572519084
2020-09-19,22.126119402985076,43.9,-2.0,0.0017293233082706766,5.401550387596899
2020-09-20,21.378947368421052,42.2,-3.0,0.0003076923076923077,3.915625
2020-09-21,21.355474452554745,42.6,-2.0,0.00022058823529411763,4.140151515151516
2020-09-22,21.71970802919708,42.7,0.0,0.0005147058823529412,5.228787878787879
2020-09-23,21.686131386861312,41.7,-1.0,0.00021897810218978104,4.834090909090909
2020-09-24,22.182481751824817,42.2,0.0,0.01167883211678832,5.306060606060606
2020-09-25,21.088321167883212,42.2,0.0,0.0040145985401459855,5.470454545454546
2020-09-26,21.262686567164177,41.1,1.7,0.0013533834586466164,4.903875968992248
2020-09-27,22.436842105263157,41.3,0.6,0.0,5.4515625
2020-09-28,24.035555555555558,42.2,-2.0,0.00015037593984962405,4.877692307692308
2020-09-29,23.3705035971223,42.8,-2.2,0.0004316546762589928,4.095522388059702
2020-09-30,23.83956834532374,44.4,0.0,0.00021582733812949639,4.111940298507463
2020-10-01,24.5265625,45.0,-1.7,0.0002362204724409449,3.487096774193548
2020-10-02,24.046212121212122,45.0,-1.7,7.575757575757576e-05,3.159375
2020-10-03,23.132592592592594,42.8,-1.1,0.0,3.212977099236641
2020-10-04,22.329411764705885,42.2,-1.1,0.00014814814814814815,3.405343511450382
2020-10-05,21.78905109489051,41.1,-3.9,0.00022058823529411765,3.4643939393939394
2020-10-06,20.997841726618702,42.2,-3.9,0.0002898550724637681,3.2850746268656716
2020-10-07,20.14855072463768,41.1,-3.3,7.352941176470589e-05,3.8225563909774434
2020-10-08,19.103571428571428,40.6,-5.0,7.246376811594203e-05,4.756296296296297
2020-10-09,18.207857142857144,38.9,-5.0,0.00014285714285714287,4.835555555555556
2020-10-10,18.761870503597123,37.2,-3.9,0.0025,5.017164179104477
2020-10-11,18.894160583941606,36.7,-3.0,0.015294117647058824,5.221212121212122
2020-10-12,20.24598540145985,40.0,-6.1,0.0005839416058394161,3.662878787878788
2020-10-13,21.74676258992806,40.0,-4.0,0.0007194244604316546,3.4074626865671642
2020-10-14,22.58201438848921,41.7,-5.0,0.0005755395683453237,4.412686567164179
2020-10-15,23.085507246376814,40.6,-5.0,7.246376811594203e-05,4.530827067669173
2020-10-16,22.864233576642338,40.6,-5.0,0.0,4.37218045112782
2020-10-17,21.935766423357663,40.6,-6.0,0.0,3.3856060606060603
2020-10-18,21.022058823529413,40.6,-3.0,0.0,3.6259541984732824
2020-10-19,20.13453237410072,38.9,-4.0,0.00021739130434782607,3.8992537313432836
2020-10-20,19.42463768115942,38.9,-4.0,0.00021897810218978101,3.582706766917293
2020-10-21,19.180575539568345,38.9,-5.0,0.0002898550724637681,3.5074626865671643
2020-10-22,18.551079136690646,36.1,-5.0,0.0002158273381294964,4.855970149253731
2020-10-23,17.15912408759124,34.4,-8.0,0.00014705882352941178,4.3530303030303035
2020-10-24,16.774637681159422,33.3,-8.3,0.0,4.1421052631578945
2020-10-25,15.781617647058825,31.7,-6.0,0.0003816793893129771,6.623664122137405
2020-10-26,14.504379562043795,29.4,-16.7,0.003703703703703704,9.48181818181818
2020-10-27,14.897080291970804,30.6,-13.9,7.299270072992701e-05,5.448484848484849
2020-10-28,14.867647058823529,30.6,-9.4,0.0,3.227272727272727
2020-10-29,15.223913043478262,33.9,-8.3,0.0,2.8233082706766917
2020-10-30,15.490579710144926,34.4,-9.0,0.00014598540145985403,2.845864661654135
2020-10-31,15.808148148148147,35.0,-10.0,0.00022388059701492538,2.8023076923076924
2020-11-01,17.050746268656717,35.0,-7.0,0.0,2.753488372093023
2020-11-02,17.086231884057973,36.7,-7.2,7.246376811594203e-05,2.8481203007518796
2020-11-03,16.513043478260872,36.7,-6.1,0.0,3.310526315789474
