DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2018-01-01,-25.30327868852459,-16.1,-33.0,0.0036065573770491803,6.786666666666666
2018-01-02,-22.188524590163933,-6.7,-34.0,0.0,6.956666666666666
2018-01-03,-11.654838709677419,-3.9,-20.0,0.0018181818181818182,12.73606557377049
2018-01-04,-17.70483870967742,-3.9,-27.0,0.0,4.277049180327868
2018-01-05,-14.05483870967742,-8.0,-27.8,0.0002,5.488524590163935
2018-01-06,-17.432258064516127,-6.0,-29.4,0.0,5.9573770491803275
2018-01-07,-5.852459016393443,4.0,-22.2,0.0006122448979591836,10.520000000000001
2018-01-08,-0.819672131147541,8.3,-13.3,0.002711864406779661,6.406666666666666
2018-01-09,0.5806451612903226,9.0,-8.2,0.0,7.419672131147541
2018-01-10,2.6870967741935483,13.0,-6.7,0.0,11.924590163934425
2018-01-11,-1.7758064516129033,18.3,-16.1,0.02517241379310345,13.708196721311475
2018-01-12,-15.174193548387096,-7.2,-23.3,0.02282608695652174,14.547540983606558
2018-01-13,-14.770967741935483,-8.9,-24.4,0.0,7.475409836065574
2018-01-14,-11.529032258064515,-1.1,-23.9,0.0015384615384615385,7.662295081967213
2018-01-15,-12.119354838709677,0.0,-23.3,0.036521739130434785,15.714754098360656
2018-01-16,-17.78548387096774,-6.1,-23.9,0.004347826086956522,11.840983606557376
2018-01-17,-14.266129032258064,1.7,-22.2,0.0003333333333333333,7.7918032786885245
2018-01-18,-4.966129032258064,6.7,-20.0,0.0005,10.972131147540983
2018-01-19,0.7241935483870967,13.9,-12.2,0.0,10.265573770491804
2018-01-20,2.7419354838709675,13.9,-7.1,0.0,5.0426229508196725
2018-01-21,3.2419354838709675,15.0,-5.0,0.00025,5.2655737704918035
2018-01-22,3.916129032258065,13.9,-3.8,0.3675,13.132786885245903
2018-01-23,-1.885483870967742,9.4,-8.9,0.23545454545454544,14.439344262295082
2018-01-24,-3.762903225806452,7.0,-12.2,0.0008928571428571429,5.41639344262295
2018-01-25,-0.4225806451612903,13.0,-12.2,0.0,5.8999999999999995
2018-01-26,6.011290322580645,15.6,-11.1,0.0005084745762711864,13.460655737704919
2018-01-27,3.3161290322580643,14.7,-8.3,0.0,8.081967213114755
2018-01-28,-2.6919354838709677,11.7,-15.6,0.0,8.011475409836065
2018-01-29,-8.298387096774194,0.0,-22.2,0.0,8.831147540983608
2018-01-30,-6.633870967741935,8.0,-21.1,0.0,8.650819672131147
2018-01-31,2.2758064516129033,7.8,-6.0,0.0,10.595081967213114
2018-02-01,-7.085483870967742,6.7,-19.4,0.0,13.960655737704919
2018-02-02,-12.67741935483871,2.2,-23.9,0.0,6.534426229508197
2018-02-03,-1.2483870967741937,10.0,-10.0,0.0016216216216216218,9.980327868852457
2018-02-04,-7.793548387096774,8.0,-21.1,0.016190476190476193,15.362295081967213
2018-02-05,-14.454098360655738,-3.3,-23.9,0.007037037037037037,6.5
2018-02-06,-15.980645161290322,-4.4,-27.2,0.15,4.896721311475409
2018-02-07,-12.14516129032258,-5.0,-22.2,0.025652173913043478,5.824590163934427
2018-02-08,-10.040322580645162,1.1,-22.0,0.006129032258064516,3.944262295081967
2018-02-09,-8.780645161290321,-0.6,-17.2,0.08304347826086957,11.59016393442623
2018-02-10,-13.258064516129032,-5.7,-26.7,0.032692307692307694,7.8475409836065575
2018-02-11,-12.214516129032257,-4.0,-23.9,0.02909090909090909,6.757377049180327
2018-02-12,-14.140322580645162,-2.2,-25.0,0.00435483870967742,5.639344262295082
2018-02-13,-7.261290322580645,7.2,-23.3,0.0,8.762295081967213
2018-02-14,-0.3951612903225806,10.0,-14.4,0.0011666666666666668,8.270491803278688
2018-02-15,3.208064516129032,12.0,-9.3,0.0003448275862068966,7.149180327868853
2018-02-16,-6.02741935483871,7.8,-20.6,0.0004,12.744262295081967
2018-02-17,-3.685483870967742,9.0,-14.6,0.002333333333333333,8.391803278688524
2018-02-18,-0.3048387096774194,13.3,-14.4,0.013392857142857142,11.026229508196721
2018-02-19,3.1580645161290324,20.0,-8.0,0.01423076923076923,9.534426229508197
2018-02-20,-2.8193548387096774,16.0,-12.8,0.3126666666666667,9.815
2018-02-21,-8.451612903225806,1.1,-20.0,0.09903846153846155,8.965
2018-02-22,-3.532258064516129,3.3,-13.3,0.006206896551724138,8.044262295081968
2018-02-23,-0.6370967741935484,5.0,-11.1,0.11516129032258064,8.339344262295082
2018-02-24,-2.990322580645161,6.1,-15.0,0.04419354838709678,8.150819672131147
2018-02-25,-1.0508196721311476,9.0,-13.0,0.0846153846153846,12.828333333333335
2018-02-26,1.1245901639344262,14.0,-15.0,0.001639344262295082,6.286666666666666
2018-02-27,6.290322580645161,21.0,-11.1,0.006229508196721312,9.01639344262295
2018-02-28,5.091935483870968,18.7,-10.0,0.00018181818181818183,5.781967213114754
2018-03-01,2.979032258064516,13.9,-10.0,0.014313725490196078,10.88032786885246
2018-03-02,0.7838709677419355,13.0,-13.3,0.00459016393442623,6.555737704918032
2018-03-03,4.956451612903226,19.0,-7.2,0.0,13.109836065573772
2018-03-04,6.851612903225806,19.4,-1.1,0.0,14.849180327868853
2018-03-05,4.47741935483871,16.7,-4.0,0.10870967741935485,18.160655737704918
2018-03-06,-0.9161290322580645,11.1,-5.6,0.28500000000000003,11.857377049180327
2018-03-07,-3.079032258064516,2.2,-11.1,0.014411764705882353,12.79016393442623
2018-03-08,-4.906451612903226,5.0,-13.0,0.0007317073170731707,8.368852459016393
